film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3618,1971,1440,2,8
3619,1971,1441,2,16
3620,1971,1442,2,12
3621,1972,1443,2,7
3622,1972,1444,2,13
3623,1972,1445,1,4
3624,1972,1445,2,7
3625,1972,1445,2,15
3626,1972,1446,1,2
3627,1972,1446,1,3
3628,1972,1446,1,5
3629,1972,1446,2,6
3630,1972,1446,1,7
3631,1972,1446,1,9
3632,1972,1446,1,10
3633,1972,1446,1,12
3634,1972,1446,1,15
3635,1972,1446,2,17
3636,1972,1447,2,6
3637,1972,1447,2,9
3638,1972,1447,2,10
3639,1972,1448,2,4
3640,1972,1449,2,12
3641,1972,1450,2,3
3642,1972,1450,2,5
3643,1972,1450,2,8
3644,1972,1450,2,12
3645,1972,1450,2,17
3646,1972,1451,1,12
3647,1972,1452,2,12
3648,1972,1453,2,17
3649,1972,1454,2,12
3650,1972,1455,2,4
3651,1972,1455,2,17
3652,1972,1456,2,1
3653,1972,1456,2,9
3654,1972,1456,2,12
3655,1972,1457,2,1
3656,1972,1457,2,3
3657,1972,1457,2,6
3658,1972,1457,2,17
3659,1972,1458,2,15
3660,1972,1458,1,17
3661,1972,1459,2,17
3662,1972,1460,2,3
3663,1972,1460,2,6
3664,1972,1460,2,9
3665,1972,1460,2,17
3666,1972,1461,1,1
3667,1972,1461,2,2
3668,1972,1461,1,6
3669,1972,1461,2,8
3670,1972,1461,2,9
3671,1972,1461,2,10
3672,1972,1461,2,12
3673,1972,1461,2,15
3674,1972,1461,1,17
3675,1972,1462,2,2
3676,1972,1462,2,4
3677,1972,1463,2,10
3678,1972,1464,2,13
3679,1972,1465,2,13
3680,1972,1466,2,4
3681,1972,1466,2,5
3682,1972,1466,2,7
3683,1972,1466,2,8
3684,1972,1466,2,10
3685,1972,1466,2,12
3686,1972,1466,1,13
3687,1972,1466,2,15
3688,1972,1466,1,16
3689,1972,1467,2,1
3690,1972,1468,2,13
3691,1972,1469,2,3
3692,1972,1469,2,5
3693,1972,1469,2,7
3694,1972,1469,1,8
3695,1972,1470,2,5
3696,1972,1470,2,8
3697,1972,1470,2,17
3698,1973,1471,1,3
3699,1973,1471,2,6
3700,1973,1471,2,12
3701,1973,1471,2,13
3702,1973,1471,2,17
3703,1973,1472,2,4
3704,1973,1472,2,6
3705,1973,1472,2,9
3706,1973,1472,2,10
3707,1973,1472,2,17
3708,1973,1473,2,2
3709,1973,1474,2,5
3710,1973,1475,2,3
3711,1973,1475,2,12
3712,1973,1475,2,13
3713,1973,1476,2,6
3714,1973,1476,1,7
3715,1973,1476,2,8
3716,1973,1476,2,9
3717,1973,1476,2,17
3718,1973,1477,2,12
3719,1973,1478,2,7
3720,1973,1478,2,10
3721,1973,1479,2,1
3722,1973,1479,2,9
3723,1973,1480,2,13
3724,1973,1481,2,8
3725,1973,1482,1,4
3726,1973,1482,2,15
