"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"170","1938","Three Comrades","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","1938","Tropic Holiday","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"172","1938","Under Western Stars","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"173","1938","Vivacious Lady","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0"
"174","1938","White Banners","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","1938","You Can't Take It with You","0","0","0","2","0","1","2","0","1","2","0","0","0","0","2","0","2","0","0"
"176","1939","Babes in Arms","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"177","1939","Bachelor Mother","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"178","1939","Balalaika","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"179","1939","Beau Geste","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","1939","Captain Fury","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","1939","Dark Victory","0","0","2","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0"
"182","1939","Drums along the Mohawk","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"183","1939","Eternally Yours","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"184","1939","First Love","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"185","1939","Four Feathers","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"186","1939","Golden Boy","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
