"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"249",1977,"Julia","0","0","0","0","1","0","1","0","0"
"250",1977,"Star Wars","0","1","0","0","0","0","0","1","0"
"251",1977,"The Goodbye Girl","0","0","0","1","0","0","0","0","0"
"252",1977,"You Light Up My Life","0","0","0","0","0","0","0","0","1"
"253",1978,"California Suite","0","0","0","0","0","0","1","0","0"
"254",1978,"Coming Home","0","0","0","1","0","1","0","0","0"
"255",1978,"Thank God It's Friday","0","0","0","0","0","0","0","0","1"
"256",1978,"The Deer Hunter","1","1","1","0","1","0","0","1","0"
"257",1979,"All That Jazz","0","1","0","0","0","0","0","0","0"
"258",1979,"Apocalypse Now","0","0","0","0","0","0","0","1","0"
"259",1979,"Being There","0","0","0","0","1","0","0","0","0"
"260",1979,"Kramer vs. Kramer","1","0","1","1","0","0","1","0","0"
"261",1979,"Norma Rae","0","0","0","0","0","1","0","0","1"
"262",1980,"Coal Miner's Daughter","0","0","0","0","0","1","0","0","0"
"263",1980,"Fame","0","0","0","0","0","0","0","0","1"
"264",1980,"Melvin and Howard","0","0","0","0","0","0","1","0","0"
"265",1980,"Ordinary People","1","0","1","0","1","0","0","0","0"
"266",1980,"Raging Bull","0","1","0","1","0","0","0","0","0"
"267",1980,"The Empire Strikes Back","0","0","0","0","0","0","0","1","0"
"268",1981,"Arthur","0","0","0","0","1","0","0","0","1"
"269",1981,"Chariots of Fire","1","0","0","0","0","0","0","0","0"
"270",1981,"On Golden Pond","0","0","0","1","0","1","0","0","0"
"271",1981,"Raiders of the Lost Ark","0","1","0","0","0","0","0","1","0"
"272",1981,"Reds","0","0","1","0","0","0","1","0","0"
"273",1982,"An Officer and a Gentleman","0","0","0","0","1","0","0","0","1"
"274",1982,"E.T. The Extra-Terrestrial","0","0","0","0","0","0","0","1","0"
"275",1982,"Gandhi","1","1","1","1","0","0","0","0","0"
"276",1982,"Sophie's Choice","0","0","0","0","0","1","0","0","0"
"277",1982,"Tootsie","0","0","0","0","0","0","1","0","0"
"278",1983,"Flashdance","0","0","0","0","0","0","0","0","1"
"279",1983,"Tender Mercies","0","0","0","1","0","0","0","0","0"
"280",1983,"Terms of Endearment","1","0","1","0","1","1","0","0","0"
